Name,Speaker picture,Theme,Start time,End time,Session type,Duration (minutes),Room,Talk title,Presenter,Abstract,Link
19:00-Igor Alexandrov: Crystal For Rubyists – How to migrate from Ruby to Crystal 1.0,igor.jpeg (https://dl.airtable.com/.attachments/14cf628a8fe79ee561b5ebde20a59c87/34b704c2/igor.jpeg),Getting started,19:00,19:30,Long Talk,30,Track 1,Crystal For Rubyists – How to migrate from Ruby to Crystal 1.0,Igor Alexandrov,"A talk about my experience transitioning from Ruby to Crystal and also my experience migrating the most advanced Ruby toolkit for handling attachments, Shrine, to Crystal.",igor-alexandrov
19:00-Kirk Haines: Dynamic Programming with Crystal,kirk.jpeg (https://dl.airtable.com/.attachments/f5a288c3bffaf4e8a277d60e626b0305/278315c9/kirk.jpeg),Language,19:00,19:30,Long Talk,30,Track 2,Dynamic Programming with Crystal,Kirk Haines,"Many Crystal programmers are familiar with Ruby, and while there is some overlap in the dynamic tools available between the two languages, dynamic programming in Crystal is significantly different from Ruby. We will explore how dynamic programming in Crystal works, and explore details about how to do real, practical dynamic programming with Crystal's toolkit.",wyhaines
19:30-Mark Brocato: Porting features from Ruby to Crystal for Speed!,mark.jpeg (https://dl.airtable.com/.attachments/3607ca3c581a9478a64e6faecee105ff/4429533c/mark.jpeg),Getting started,19:30,20:00,Long Talk,30,Track 1,Porting features from Ruby to Crystal for Speed!,Mark Brocato,"In this talk I'll explain the reason I chose Crystal to improve the performance of loading CSV files into Flatbase.io.  I'll cover my initial experience with Crystal as a Ruby developer, compare the previous Ruby implementation to the new one in Crystal, and show how much faster the new implementation is.",bararchy
19:30-Pablo Tesone: Pharo: A live programming experience everywhere,pablo.png (https://dl.airtable.com/.attachments/489d0ba75062e6b8136f428617232694/1136016a/pablo.png),Language,19:30,20:00,Long Talk,30,Track 2,Pharo: A live programming experience everywhere,Pablo Tesone,"Pharo is a pure object-oriented programming language with a powerful development environment, focused on simplicity and immediate feedback. It is a live-programming environment with an improved edit-compile-test workflow, and it includes an interactive debugger that allows us to modify code at run-time, a rich set of extensible inspectors to observe the state of our application, and code management tools that improve the code exploration experience.",pharo-project
20:00-Stephen Dolan : Embracing Ruby and Building on the Shoulders of Giants,stephen.jpeg (https://dl.airtable.com/.attachments/8d1270f4c79c36c8dfcd5bd50cd17d49/573379ca/stephen.jpeg),Getting started,20:00,20:15,Short Talk,15,Track 1,Embracing Ruby and Building on the Shoulders of Giants,Stephen Dolan ,"Coming to Crystal through the Lucky framework, I sorely missed the massive ecosystem I’d left behind with Ruby and Rails. Specifically, the ability to quickly add and remove functionality from my apps. This talk attempts to bring down the “Ruby vs Crystal” wall, by demonstrating how easily a problem in our community was solved by leveraging existing community tools in another language.",stephendolan
20:00-Alex Potanin: Wyvern – Security by Design,alex.jpg (https://dl.airtable.com/.attachments/13fd3cd2062a7e927c16da6b35b6427e/1674b267/alex.jpg),Language,20:00,20:30,Long Talk,30,Track 2,Wyvern – Security by Design,Alex Potanin,"The goal of the Wyvern programming language is to help programmers cleanly express and enforce design as an integral part of programming. The talk will show how Wyvern accomplishes this with a capability-safe object model that expresses design constraints constructively, a strong system of types and effects to enforce abstractions at both component and object scales, and an extensible syntax that can express designs in a variety of domains while preserving important security and modularity properties.",wyvernlang
20:15-Guilherme Bernal: Reaching 200k req/s on a single core with io_uring,guilherme.jpeg (https://dl.airtable.com/.attachments/e45a03877272ec255759211cafe3e4b9/f7c2bf15/guilherme.jpeg),Performance,20:15,20:30,Short Talk,15,Track 2,Reaching 200k req/s on a single core with io_uring,Guilherme Bernal,"io_uring is a new Linux IO interface that's all about doing IO without system calls and expensive context switches. This presentation discusses how Crystal can implement and benefit from it to more than double its IO performance. Here you will see some implementation details, some interesting benchmarks against other languages, and the road ahead.",lbguilherme
20:30-Noah Lehmann-Haupt: How to build powerful reactive web apps with Crystal and Svelte ,nlh.jpeg (https://dl.airtable.com/.attachments/61a50454639de26f9708d9c1851d6aef/327765b9/nlh.jpeg),Ecosystem,20:30,21:00,Long Talk,30,Track 1,How to build powerful reactive web apps with Crystal and Svelte ,Noah Lehmann-Haupt,"An introduction to building powerful, reactive, component-based (and ridiculously fast) web applications using Crystal and Svelte. I’ll demonstrate some live examples and explore how Crystal-powered web applications of the future might work. This is a beginner-focused talk that will learn heavily on live coding and visual demonstration.",noahlh
20:30-Duke Nguyen: Macros in Practice,duke.jpeg (https://dl.airtable.com/.attachments/0e73b81a3444083e995ec3fa677b245c/32879d6e/duke.jpeg),Language,20:30,21:00,Long Talk,30,Track 2,Macros in Practice,Duke Nguyen,"Macro is perhaps the most powerful feature in Crystal, the least documented, and the most complex topic in the language. I will explore the organic development of macro usage in the Crystal community, especially as demonstrated in some of the most successful shards (web frameworks, ORMs, serializers). Extrapolated common macro patterns and idioms with corresponding examples (in the standard library and shards) will be analyzed extensively.",dukeraphaelng
21:00-Bruce Tate: Programming Languages and the Unexpected,brucetate.jpeg (https://dl.airtable.com/.attachments/f2b49a3217ede876fa204c489e138353/96c53930/brucetate.jpeg),Language,21:00,21:30,Long Talk,30,Main ,Programming Languages and the Unexpected,Bruce Tate,"In this fireside chat, Jack Thorne will interview Bruce Tate, author of Seven Languages in Seven Weeks and founder of Groxio. Together, they will explore the joy of learning programming languages and Bruce's programming journey, including his move from Java to Ruby and the languages that shaped his development as a programmer and author.

Then, they'll shift to the exploration of the Crystal programming language. Along the way, they'll discuss several of the delightful surprises found in the Crystal language and community. ",batate
